post,label,reason
"☀️ @vSALORIceZsHHG2 you are my light in the dark, my warmth in the cold, and beauty within the ugliness of the world ☀️ x369",no mental disorder,"While this post expresses affection and admiration towards someone, there is no indication of any distress, negative emotions, or symptoms of a mental disorder. The use of terms like 'light in the dark' and 'warmth in the cold' could be interpreted as metaphoric expressions of support or comfort, rather than indicators of depression. The use of 'x369' at the end could suggest a form of online shorthand or personal signature, rather than a sign of depression."
"@rXJYCLumrSP Former Head of CID at Dyfed Powys Police ignored evidence of criminality re employed GPs, destroyed files &amp; gave immunity! :""(",no mental disorder,"While the post mentions criminality and destruction of files, there is no indication of any personal trauma or distress experienced by the author. The use of emoticons such as "":("" could suggest sadness or disappointment, but it does not necessarily indicate the presence of a mental disorder."
@hqEljVC1lagIqQ1 Just telling the truth! U take the time to give ur time to help us have a cool experience! It means alot that u give back!,no mental disorder,"The post expresses gratitude and appreciation towards the person being addressed. While the phrase 'It means a lot' could suggest some level of emotional significance, there is no indication of any distress or symptoms associated with a mental disorder. The content of the post is positive and lacks any indicators of mental health concerns."
RT @ipZhMmwX5Mpp3Q: You don't have to call anymore / I won't pick up the phone / 'Cause you can't understand / I don't believe in your virg…,no mental disorder,"The post consists of song lyrics that express a lack of belief in someone's virtues. While the lyrics may suggest a negative view or disconnection from the person being referred to, there is no indication of distress, symptoms of a mental disorder, or any direct reference to traumatic experiences."
I think I take basketball to seriously sometimes. But tough shit. It's the love for the game,no mental disorder,"The post simply suggests that the person takes basketball very seriously and acknowledges that they might sometimes take it too seriously. There is no indication of any distress, negative emotions, or symptoms of a mental disorder. Taking a hobby or passion seriously does not automatically indicate the presence of a mental disorder."
"""@damnitstrue: Who needs Batman when you have Robin? vine.co/v/Mj3JVxYvZFm #spainvsnetherlands #WorldCup2014"" amazing goal van persie!!",no mental disorder,This post appears to be a simple tweet expressing excitement and admiration for a soccer goal. There is no indication of any mental disorder being present as the content of the post is unrelated to any symptoms or issues commonly associated with mental disorders.
Up 500% this year but down 20% this month. Considering suicide.,suicide or self-harm,"The use of the phrase ""Considering suicide"" indicates that the person is contemplating or thinking about taking their own life. Additionally, the mention of fluctuating numbers and a decline in performance could suggest feelings of hopelessness, which are common in individuals at risk of suicide. Overall, the post implies a significant level of distress and a potential risk for self-harm or suicide."
@r3NQpoWqCM Thanks James. Robbie's suffering is over. We demand truth/justice for ALL abused children. Please God deliver this for them ALL!,no mental disorder,"While the post mentions the suffering of Robbie and a demand for truth and justice for abused children, there is no indication of personal distress or symptoms of a mental disorder. The post could simply be expressing empathy and a desire for justice, without necessarily reflecting any personal mental health issues."
Lol I'm low key mad at myself tho almost got that kill chain,no mental disorder,"This post is a casual expression of frustration or disappointment about not achieving a gaming goal. While the phrase 'mad at myself' could suggest negative emotions, there is no indication of any significant distress or symptoms of a mental disorder."
"RT @nrFb1VFFJ85c3: Don't ever try to change someone. If you have to change them, then they're obviously not right for you anyway. Why waste…",depression,"There are a few elements in this post that suggest the label of depression: 
- The statement ""Don't ever try to change someone"" could be seen as a reflection of low self-worth or a lack of motivation to make efforts in relationships, which can be common in depression. 
- The phrase ""If you have to change them, then they're obviously not right for you anyway"" could indicate a pessimistic or hopeless outlook on relationships, which can also be a symptom of depression. 
- The use of the word ""waste"" suggests a negative perspective on time or energy, which can be indicative of depressive thoughts. Overall, although the post does not explicitly mention sadness or other depressive symptoms, the underlying themes and language used suggest a possible association with depression."
@QeTVqFEWI Well of course they can when there is lack of knowledge from so called experts in how the drugs work,no mental disorder,"This post seems to be critiquing the knowledge and expertise of certain individuals (""so-called experts"") regarding how drugs work. While it may indicate frustration or disagreement with certain experts, there is no indication of any symptoms or experiences related to a mental disorder such as PTSD."
"@Usher ""We don't celebrate positive things. We celebrate bullshit."" #AJS",no mental disorder,"This post expresses frustration or discontent with the celebration of negative things instead of positive things. While the language used may be harsh or critical, there is no indication of any mental disorder symptoms such as distress, impaired functioning, or specific symptoms related to a mental health condition."
i rlly want to cut myself up and throw myself into a rapid flowing river with lots of rocks,suicide or self-harm,"This post explicitly expresses a desire to engage in self-harm and includes specific details about the method and location. The phrase ""i rlly want to cut myself up"" indicates a strong urge to self-harm, while the mention of throwing oneself into a rapid flowing river with lots of rocks indicates a desire for a potentially fatal act. These specific and graphic thoughts and intentions suggest a high risk for suicide or self-harm tendencies."
@wfBDaU0rQZTBJjV I didn't mean it in a mean way toward anyone but Lordy it's all over the place. Even on the news!,depression,"The post does not explicitly mention any symptoms of depression. However, there are a few subtle clues that suggest a possibility of depression as the assigned label: - The use of the phrase ""I didn't mean it in a mean way toward anyone"" could suggest feelings of guilt or concern about hurting others, which can be common in individuals with depression. - The phrase ""Lordy it's all over the place"" suggests a sense of overwhelm or feeling inundated, which can be indicative of low mood or lack of motivation often associated with depression. - The mention of seeing it ""even on the news"" could suggest a heightened sense of negative and distressing events in the world, which can be a common cognitive distortion in individuals with depression. While these clues are not definitive, they do provide some indication that the person behind the post may be experiencing symptoms of depression."
@JamesLiamCook That shit cray,no mental disorder,There is no indication in this post that suggests the presence of any mental disorders. The content of the post is a casual and colloquial response to someone's tweet and does not contain any language or themes that relate to mental health or distress.
I spend pretty much everyday and night with my boyfriend and I never seem to get bored with him.. Hey @pnM8U8IfiGWg y u so cool?!,no mental disorder,This post simply expresses a positive sentiment about spending time with the poster's boyfriend and does not suggest any symptoms or indications of a mental disorder.
I'm going to kill myself if my job gets any busier,suicide or self-harm,"The statement ""I'm going to kill myself if my job gets any busier"" is a direct expression of suicidal ideation. The individual is indicating that they are considering self-harm or suicide as a potential outcome if their job becomes more demanding. This kind of statement should never be taken lightly and should be addressed with urgency and appropriate intervention. Therefore, the assigned label in this case would be Suicide or self-harm tendency."
Literally everyone around me has pulled my wife and I’m going to kill myself,suicide or self-harm,"The use of the phrase 'I'm going to kill myself' indicates a serious and immediate risk of self-harm or suicide. The person is expressing feelings of hopelessness and despair, and the mention of everyone around them pulling away suggests a lack of support and social isolation. This post highlights a clear and urgent need for intervention and support."
@vSALORIceZsHHG2 hi babe its my birthday &amp; all i wished for was you 💖😋 i love you and i hope you have a nice day 2,depression,"There are a few things in this post that suggest depression as the most likely mental disorder label: 
- The person refers to their birthday, which can be a triggering event for individuals struggling with depression. Birthdays can often be a reminder of feelings of loneliness, lack of fulfillment, or missed opportunities. 
- The person mentions that their only wish is for the recipient of the message to be with them. This can be interpreted as a sign of social isolation or a strong desire for connection, which are common experiences for individuals with depression. 
- The use of phrases like ""I love you"" and ""I hope you have a nice day"" in a birthday message can be seen as an attempt to seek validation and positive affirmation from others, which is a common behavior in individuals with depression. 
Overall, while this post does not explicitly mention feelings of sadness or hopelessness, the underlying themes of loneliness, longing for connection, and a desire for validation strongly suggest that the person who wrote it may be struggling with depression."
At Brits. Awesome view. Waiting for the next Jarvis Cocker moment. Thx @bigchrismaples,no mental disorder,This post does not show any indicators of mental disorders. The content is related to a social event (Brits) and expresses excitement about the view and anticipation for a specific moment. There is no mention of any emotional distress or symptoms that would suggest the presence of a mental disorder.
There's a voice in my head says I'm better off dead.,suicide or self-harm,"The phrase ""I'm better off dead"" is a clear indication of suicidal ideation. Expressing such thoughts suggests that the person may be struggling with suicidal tendencies or self-harm urges. This statement reflects a negative and hopeless perspective towards their own life, which requires immediate attention and support."
"My sister is a genius. 'Do they have shells in Afghanistan?' Umm...no. 'But they have lobsters'. They are scorpions, Beck @rB3kp5CncCf",no mental disorder,"This post does not exhibit any symptoms or indications of a mental disorder. It is simply a conversation about a misunderstanding or misconception about shells and lobsters in Afghanistan, which does not relate to any mental health issues."
Neo Yokio makes me want to kill myself.,suicide or self-harm,"The post explicitly states that ""Neo Yokio makes me want to kill myself,"" indicating that the person is struggling with thoughts of self-harm or suicide. This statement demonstrates a significant level of distress and an association between a specific trigger (in this case, the show Neo Yokio) and a desire to harm oneself. It is crucial to take such statements seriously and ensure the person receives appropriate support."
"RT @dErmLHsASND6: @rXJYCLumrSP @omlaH0Bh32 We'll report anything of significant importance to today's NHS that we are made aware of, as we …",no mental disorder,"This post seems to be a response to a tweet regarding reporting significant information to today's NHS. While it's not clear what the significant importance is, there is no indication of any mental disorder symptoms or distress in the content of the post."
"RT @w9Q8W619De75WYr: AP Government: Teacher: Here's how a bill becomes a law... Test: What law was passed in 2000? In other words, I just f…",depression,"There are a few factors that suggest depression as the most likely mental disorder label for this post:

- The post includes frustration and a feeling of failure (""In other words, I just f...""). This could be indicative of low self-esteem and a negative self-perception, which are common in people with depression.
- The mention of a test and the pressure to remember information could suggest academic or performance-related stress, which can also be a symptom of depression.
- The use of the word ""just"" in the context of failing or not knowing something may imply a sense of inadequacy or worthlessness, which aligns with depressive symptoms.
- Overall, the tone of the post conveys a sense of discontentment and dissatisfaction, which can be reflective of underlying depressive emotions."
Both me and my roommate are heavy sleepers so we never wake each other up coming in late and that’s a blessing,no mental disorder,"This post does not indicate any symptoms or behaviors that would suggest a mental disorder. It simply states that the person and their roommate are heavy sleepers and do not wake each other up when they come in late. There is no mention of distress, negative emotions, or any other indicators of a mental disorder."
Look who I met while walking to the mailbox. There were 4 of them. They came right up to me at one point. #fun http://t.co/3ZRDBN5w4P,no mental disorder,"The post describes a positive experience of meeting animals while walking. There is no indication of distress, trauma, or any symptoms suggestive of a mental disorder. The use of hashtags like ""#fun"" suggests a positive mood and enjoyment, further indicating that there are no mental disorders present in this post."
RT @mqlqg9m6wUQFAEz: No one can see you eat 4 carrots if you are alone in your bedroom with the lights off I hope,depression,"This post suggests depression as the most likely mental disorder label for a few reasons:

- The author mentions being alone in their bedroom with the lights off, which could suggest isolation and withdrawal, common symptoms of depression.
- The mention of eating four carrots could be seen as a form of self-care or a small attempt to engage in a healthy behavior, which can be difficult for those experiencing depression.
- The phrase ""I hope"" at the end of the post could suggest a desire for validation or support, which is often sought by individuals with depression.
- The overall tone of the post seems melancholic and focused on isolation, which aligns with depressive symptoms."
"RT @vrkWfiFbBjnc: When Baee tell you to leave her alone, then you leave her alone &amp; she gets mad at you for leaving her alone http://t.co/T…",depression,"There are a few indications in this post that suggest depression as the most likely mental disorder label: 
- The use of the phrase 'Baee tell you to leave her alone' implies a romantic relationship, and the person mentioning this is expressing confusion and frustration about their partner's conflicting desires for both space and attention. This could be reflective of their own feelings of inadequacy or their struggle to navigate the dynamics of the relationship, which can be common in individuals with depression.
- The mention of the partner getting mad at them for leaving alone suggests a pattern of emotional volatility or instability, which can also be associated with depression.
- The use of the phrase 'gets mad at you for leaving her alone' could also indicate that the person feels a sense of guilt or blames themselves for the negative emotions or reactions of their partner, which can be characteristic of depression.
Overall, while the post does not explicitly mention feeling sad or hopeless, the underlying context and emotions expressed in the text align with the patterns commonly observed in individuals with depression."
RT @hZ1DOk8: @kJe1aA5b5AGh @puJVdX @knIpDqAubJl it's the general attitude of police forces across the country not just met as we are all fi…,ptsd,"There is no indication in this post that suggests any mental disorder or symptoms. The post is simply discussing the general attitude of police forces and does not provide any personal experiences or distress that would indicate a mental disorder. Therefore, the assigned label would be ""No mental disorders."""
"@openfly @csoghoian I'd watch the fuck out of that. Until then, however, I'll just re-watch this... youtu.be/DAJSxOzrD1g",no mental disorder,"This post is simply expressing excitement about watching something and sharing a YouTube video. There are no indicators of distress, negative emotions, or any symptoms of a mental disorder. Therefore, the assigned label would be ""No mental disorders."""
"Not to be dramatic, but my job makes me want to kill myself",suicide or self-harm,"The use of the phrase ""want to kill myself"" directly suggests the presence of suicidal thoughts or desires. The statement indicates a severe level of distress and hopelessness related to the person's job, which may suggest the presence of a mental disorder, such as depression or a generalized feeling of despair. The intensity and seriousness of the statement indicate a need for immediate attention and support."
"""People starting a company giving up 20% of shares to #VC so they can have a boss : That's a shitty way to start"" @dhh #vipvoip",no mental disorder,"This post does not contain any indications of mental disorders. It simply expresses an opinion about starting a company and the perception of giving up a significant portion of shares to venture capitalists. There is no mention of distress, symptoms, or any other indicators that would suggest the presence of a mental disorder."
The high for tomorrow is 90 and I think I might KILL MYSELF https://twitter.com/juliaalexander0/status/913857125037887488 …,suicide or self-harm,The use of the phrase 'I might kill myself' is a clear indication of suicidal ideation or self-harm tendencies. The post suggests that the person is experiencing distress to the point where they are considering taking their own life. This is a serious indication of a mental health concern and warrants immediate attention and support.
Does the Senate hate women? Sign the damn Women's Rights Treaty That U.S. Has Not Signed huff.to/or1uD6,no mental disorder,There is no indication in this post that suggests the presence of any mental disorder. The post simply expresses frustration and a call to action regarding a women's rights issue. It does not exhibit any symptoms or language associated with mental health disorders.
I wish I had any other face shape than the one I have so I could hack my hair off and feel confident about it,depression,"There are several indicators in this post that suggest the label of depression. 

First, the use of the phrase ""I wish I had any other face shape than the one I have"" suggests a dissatisfaction with one's appearance, which can be a common symptom of depression. 

Second, the desire to ""hack my hair off and feel confident about it"" implies a lack of self-esteem or confidence, which is also associated with depression. 

Finally, the statement of wanting to feel confident about changing one's appearance suggests a desire for validation or a need to change one's appearance to improve one's mood, which can be indicative of seeking external sources of happiness or insecurity commonly seen in individuals with depression. Overall, these elements suggest that the person experiencing this thought may be struggling with depression."
"shit... tomatoe was to early according to goof. onions should be really really dark, the master said #gullasch",no mental disorder,"This post appears to be a statement about cooking or food preparation. While the use of slang (""shit"") and hashtags (#gullasch) may suggest casual or informal language, there is no indication of any mental disorders in the content. The mention of tomatoes and onions does not relate to mental health in any way, and there is no expression of distress or symptoms of a mental disorder. Therefore, the assigned label would be ""No mental disorders."""
@darniosalamanca van dos edicion end de Shorts agotadas,no mental disorder,"There is no indication or mention of any mental disorders or symptoms in this post. It simply appears to be a comment about a sold-out product, without any underlying emotional distress or mental health issues being expressed. Therefore, the label assigned would be ""No mental disorders."""
"Wow it would suck to have dementia, I don't know how I would cope with it. *5 minutes later* Wow it would suck to have dementia, I don't k-",depression,"The repeated statement of ""Wow it would suck to have dementia"" coupled with the repetitive and fragmented nature of the second part of the post suggests a possible depressive mindset. The author is expressing a negative, hopeless perspective on living with dementia, and the repetitive nature of the statement and the inability to complete the thought could indicate a lack of energy or motivation associated with depression. Overall, this post suggests a depressive mindset rather than any other specific mental disorder."
RT @twGzWFbDjquYL: find a person who will never let your curiosity and imagination die and spend your life dancing and laughing and explori…,depression,"There are a few reasons why depression could be the most likely mental disorder label for this post:

- The post talks about finding a person who will never let your curiosity and imagination die and encourages living a life filled with dancing, laughing, and exploring. While these words may suggest a positive outlook, they can also be seen as a response to the absence of these things in the person's life, which can be indicative of depression.

- The use of the word ""never"" in the context of not letting curiosity and imagination die suggests a sense of hopelessness or despair, which are common symptoms of depression.

- The mention of finding someone who will support and nurture these aspects of life can be seen as seeking external validation and connection, which can be characteristic of individuals with depression who may struggle with feelings of isolation.

Overall, while the post may seem uplifting on the surface, the underlying themes and language used suggest an individual who may be experiencing symptoms of depression."
"NEW BLOG POST: ""Our Sense of Relational Being"" - today I continue with my Joy In The Journey posts by talking... http://t.co/pUzhQQ6vSF",no mental disorder,"The post is a promotion for a blog post about relational being and joy in the journey. There is no indication of any distress, trauma, or symptoms related to a mental disorder."
I want to kill myself so bad but cant until after I see Lana pic.twitter.com/ljqBUyDjaw,suicide or self-harm,"The use of the phrase ""I want to kill myself so bad"" clearly indicates suicidal ideation and an intense desire to engage in self-harm. The mention of wanting to see Lana suggests that the person has identified a specific event or experience that they want to hold onto before carrying out their suicidal thoughts or self-harm tendencies. This post displays a high level of distress and a strong urge to harm oneself, indicating a clear risk for suicide or self-harm."
Please believe me. I want to die. Everything is numb and spinning please please please,suicide or self-harm,"The person explicitly expresses a desire to die and describes feelings of numbness and disorientation. This suggests a severe level of distress and a potential risk for self-harm or suicide. The urgency expressed by the repeated use of ""please"" further emphasizes the severity of their emotions and the need for immediate support or intervention."
@rXJYCLumrSP Difficult to understand how I can prove so much CORRUPTION/LIES by Welsh Office Officials/Sec State Wales &amp; still no inquiry :(,no mental disorder,"This post expresses frustration and disappointment with the lack of inquiry into corruption and lies by Welsh Office Officials/Sec State Wales. While the person may be upset or angered by the situation, there is no indication of symptoms or experiences related to a mental disorder such as PTSD."
"@euQebEXpBJL0VC my heart is truly breaking for you.. I have no idea how you can, but please stay strong. Here if you ever need anything♡",depression,"The use of the phrase ""my heart is truly breaking for you"" suggests empathy and concern for the person being addressed. This can be a common response from someone with depression who may have heightened empathy and sensitivity towards others' emotions. The offer to be there for them and provide support also indicates a desire for connection, which can be a characteristic of depression. The inclusion of a heart emoji and the statement ""here if you ever need anything"" further suggests a longing for emotional connection and potentially a lack of support or isolation, both of which can be seen in individuals with depression. Overall, while the post does not explicitly mention symptoms of depression, the language and sentiment expressed strongly suggest that the person who wrote it may be experiencing depression."
"CTY kiddos, get ready to dye my hair obscene but temporary colors. Maybe pink? Or turquoise? It'll work well over the platinum.",no mental disorder,"This post does not show any indications of mental disorders. It simply mentions the act of dyeing hair in different colors, which is a common and harmless activity that many people engage in for fun or self-expression. There is no mention of distress, trauma, or any symptoms related to mental disorders."
"@PeteWright Facebook should only display ads that people actually ""Like"". The top ""liked"" ads, not just crap people pay to place.",no mental disorder,"This post is a suggestion or opinion about Facebook displaying ads based on likes. While it may express dissatisfaction with the current system, there is no indication of any mental distress or symptoms of a mental disorder. The content of the post is focused on a specific issue with Facebook's advertising practices and does not suggest any personal emotional or psychological challenges."
mr. counsellor: OH ROBIN im here for you BUT ONLY IF ITS URGENT me: yeah. ok. im suicidal and ill be abused if i drop out. him: drop out.,suicide or self-harm,"The post explicitly mentions suicidal thoughts and the potential for abuse if the person drops out. The response from the counselor seems dismissive and unsupportive, which could exacerbate feelings of hopelessness and increase the risk of self-harm or suicide. Therefore, the assigned label of Suicide or self-harm tendency is appropriate."
Why great writers are so darned productive bit.ly/1L3H1Nt #amwriting #NaNoWriMo,no mental disorder,This post discusses why great writers are productive and includes hashtags related to writing and a writing event. There is no indication of any mental distress or symptoms of a mental disorder in this post. It simply appears to be a topic of interest related to writing productivity.
@DickieV @KingJames does he need more pressure with the season yet to start? The press needs to be a bit more fair & balanced here,no mental disorder,"This post does not display any symptoms or indications of a mental disorder. It is simply expressing an opinion about a sports topic, specifically discussing the pressure and fairness of the press coverage. There is no mention of personal distress or any other factors that would suggest the presence of a mental disorder."
@SanLorenzos Any chance two ladies can pop in for Nutella Cheesecake Cocktails this eve??,no mental disorder,There is no indication or mention of any mental health symptoms or concerns in this post. It is simply a question or request for a reservation or visit to a restaurant.
@dickiewelch sorry to miss you! See you soon,no mental disorder,This post is a simple message expressing regret about missing someone. There is no indication of any mental disorder or distress being experienced by the poster.
"How do we refer to female leaders? Slutty, Bossy, Angry, Unreasonable, Irrational. Watch Womenomics: tedxberlin.de/ola-orekunrin-… cc: @ToolzO",no mental disorder,"This post is discussing the way female leaders are referred to and includes negative stereotypes and labels. While these labels may be derogatory and unfair, there is no indication that this post is a result of a mental disorder. It appears to be a commentary on societal attitudes towards female leaders."
The seemingly bizarre behavior by Afghanistan's president has rational roots in a bloody history: My take @TIME ti.me/1fKr3rm,no mental disorder,"This post is discussing the behavior of Afghanistan's president and the historical context that may have influenced it. While the behavior may be described as bizarre, there is no suggestion of any mental health symptoms or distress in the post. The mention of a bloody history indicates a historical context rather than an individual's mental state. Without any indications of mental health concerns, it would be inappropriate to assign a label of a mental disorder to this post."
"@AsiaSocietyNY: MAY 2 (6-9PM: Come celebrate Asian Pacific American Heritage Month w. live jazz @KorillaBBQ, cocktails & more!...",no mental disorder,"This post is promoting an event and celebrating Asian Pacific American Heritage Month. There is no indication of any mental disorder symptoms or distress in the post. It is a positive and lighthearted message about an event. Therefore, it is appropriate to assign the label of ""No mental disorders"" to this post."
"It gives me suicidal thoughts.. I have nauseas.. Literally, really, it's not a metaphor ..",suicide or self-harm,The use of the phrase 'It gives me suicidal thoughts' clearly indicates that the person is experiencing thoughts of self-harm or suicide. The mention of nausea and emphasizing that it is not a metaphor suggests that these thoughts are causing significant distress and may be impacting their physical health as well. This indicates a strong tendency towards self-harm or suicide.
"EU governments are CRAP at cloud, moans Brussels' infosec watchdog theregister.co.uk/2015/02/28/eu_… via @theregister",no mental disorder,"This post is a complaint about the European Union's governments and their handling of cloud security. While the language used may be negative or critical, there is no indication of any mental health symptoms or distress being expressed. The post seems to be expressing frustration or dissatisfaction with a specific issue, rather than reflecting any mental disorder."
"RT @cjDg3qJN: Me: *walks into my mums room* Mum: FOR THE LAST FUCKING TIME FREYA, YOU'RE NOT GOING TO THAT CONCERT!",no mental disorder,"This post depicts a common interaction between a teenager and their parent, where the parent expresses frustration and sets a boundary about not attending a concert. While the use of strong language may suggest a momentary emotional response, there is no indication that this post reflects any symptoms or signs of a mental disorder. It is more likely a typical exchange between a parent and a teenager."
"this quote made me smile "" If you go home with somebody and they don’t have books, don’t fuck them. ""John Waters",no mental disorder,"This post simply shares a quote that made the person smile. There is no indication of any distress, negative emotions, or symptoms of a mental disorder."
"Jon Gruden, @BMarshall @CarliLloyd @KarlTowns @michaelb4jordan discuss why #SportsMatter @DICKS pic.twitter.com/lAcFBBogVX",no mental disorder,"The post is about a discussion on the importance of sports with several well-known individuals. There is no indication of any mental disorder in this post as it is focused on a specific topic and does not mention any personal struggles, distress, or symptoms commonly associated with mental disorders."
"@tgn1veCt5Ns2CQ I forget who, but this guy who owns a ton of land wants to eliminate the population by like 90%",depression,"The post suggests that the person is talking about someone who wants to eliminate a large portion of the population. This potentially indicates a dark and pessimistic worldview, which is often associated with depression. The mention of forgetting who said it may imply difficulty with memory or concentration, which are common symptoms of depression. Additionally, the idea of wanting to eliminate a large portion of the population can be interpreted as a reflection of the person's own negative and despairing thoughts, which is another characteristic of depression. Overall, while the post does not provide explicit information about the individual's mental state, the content and tone of the post suggest that depression could be a likely mental disorder label."
Please I literally love Harry so much I don't know what to do with myself I'm gonna fuckijg kill myself pic.twitter.com/CB7DQg2MzY,suicide or self-harm,The use of the phrase 'I'm gonna fucking kill myself' is a clear indication of suicidal ideation and self-harm tendencies. The person expresses intense love for Harry and feels overwhelmed by their emotions to the point where they don't know how to handle it. This level of distress and the explicit mention of self-harm warrants the assigned label of suicide or self-harm tendency.
"""I've had a pretty hard life, for such an easy heart"". Gahhh I haven't listened to Whiskeytown in ages. I vote today be #reuppinoldshit",no mental disorder,"This post discusses having a hard life and nostalgia for a band, Whiskeytown. While the phrase 'pretty hard life' could suggest some difficulties or challenges, there is no indication of significant distress or symptoms of a mental disorder. The post simply expresses a sentiment and a desire to listen to old music."
"So those spivvy 'financial advisors' who hang around sports stars the whole time turn out to be, er, total spivs? Yeah no shit.",no mental disorder,The post does not mention any symptoms or indicators of a mental disorder. It is a sarcastic comment expressing skepticism or lack of surprise about dubious financial advisors.
ive always wanted to walk out from work or school and have a cute boy draw on my car windows with those car markers.. #dreamon,no mental disorder,"This post does not indicate any symptoms or signs of a mental disorder. It appears to be a simple expression of a desire or fantasy, without any mention of distress or negative emotions."
Merci la Tchatroom ! Le #techscope d'aujourd'hui était à se pisser dessus (surtout à la fin ;) periscope.tv/w/aIhvjTM5MDk2…,no mental disorder,"This post is in French and translates to ""Thank you, chatroom! Today's #techscope was hilarious (especially at the end ;) periscope.tv/w/aIhvjTM5MDk2…"". The post is expressing gratitude and enjoyment towards a techscope, suggesting a positive emotional state. There is no indication of distress, symptoms, or thoughts related to a mental disorder, so the label assigned would be ""No mental disorders""."
LOL!!!! My money got a bad habit of pissing people off!! If you sincerely wanna help little girls more… instagram.com/p/a-uiXghM2Y/,no mental disorder,"This post does not provide any evidence or indications of mental disorders. The use of ""LOL!!!!"" suggests a lighthearted and joking tone, and there is no mention of any distress or symptoms that would suggest a mental disorder."
"RT @wcvt2PCMURO: I learned to get over shit quick. Whether I have to let you go, whoop your ass, or forgive you, I'm over it and refocused.",depression,"This post suggests a possible label of depression due to several reasons: 
- The statement ""I learned to get over shit quick"" implies a desensitization or apathy towards difficult situations, which can be a symptom of depression.
- The mention of ""letting go"" or ""forgiving"" someone could suggest difficulties in maintaining relationships and unresolved emotional issues, which are common in individuals with depression.
- The emphasis on being ""refocused"" may indicate an attempt to distract oneself or find motivation, as individuals with depression often struggle with low energy and lack of focus.
- While the post does not explicitly mention sadness or hopelessness, the overall tone suggests a disconnection from emotional experiences, which can be indicative of depression."
